節慶,年份,日期,星期,日期精確度,檔期性質,前置節奏,適配品類,備註
白色情人節,2027,2027-03-14,週日,確定,送禮,short,食品飲料|美妝個護|餐飲,回禮情境，客單低於2/14
兒童節/清明,2027,2027-04-04,週日,確定,團聚|儀式,short,食品飲料|零售通路|餐飲|服務業,兒童節4/4與清明4/5相連，親子與祭祀兩種需求並存
母親節,2027,2027-05-09,週日,確定,送禮,long,美妝個護|食品飲料|餐飲|服飾配件|3C家電|服務業,5月第2個週日；餐飲需提前開放訂位
端午,2027,2027-06-09,週三,確定,送禮|儀式,long,食品飲料|餐飲|B2B企業採購|零售通路,預購與企業團購為主
父親節,2027,2027-08-08,週日,確定,送禮,mid,3C家電|食品飲料|餐飲|服飾配件|美妝個護,8/8；聲量與客單皆低於母親節
七夕,2027,2027-08-08,週日,確定,送禮|體驗,mid,美妝個護|食品飲料|餐飲|服飾配件,非國定假日；與中元同月，情緒調性需切開
中元普渡,2027,2027-08-16,週一,確定,儀式|囤貨,mid,食品飲料|家清日用|零售通路|B2B企業採購,整個農曆七月都有拜拜需求，非單日
開學季,2027,2027-08-30,週一,概略,季節需求,mid,家清日用|食品飲料|3C家電|服飾配件|服務業,錨點8/30；各級學校開學日不同
中秋,2027,2027-09-15,週三,確定,送禮|團聚,long,食品飲料|餐飲|B2B企業採購|零售通路|家清日用,禮盒送禮與烤肉團聚兩種任務並存
百貨週年慶,2027,2027-10-15,週五,概略,囤貨|體驗,long,美妝個護|服飾配件|3C家電|零售通路|餐飲,錨點10/15；各百貨檔期9-11月不一，需查該店公告
萬聖節,2027,2027-10-31,週日,確定,體驗,mid,食品飲料|餐飲|零售通路|美妝個護|服飾配件,內容與快閃導向，客單低但社群聲量高
雙11,2027,2027-11-11,週四,確定,囤貨,short,電商|家清日用|食品飲料|3C家電|美妝個護|服飾配件,平台主導，站內資源位需提早報名
黑色星期五,2027,2027-11-26,週五,確定,囤貨,short,電商|3C家電|服飾配件|美妝個護,11月第4個週四之後的週五；跨境與3C為主
雙12,2027,2027-12-12,週日,確定,囤貨,short,電商|零售通路|食品飲料|家清日用,雙11的補檔，適合清庫存
聖誕節,2027,2027-12-25,週六,確定,送禮|體驗|團聚,mid,食品飲料|餐飲|零售通路|服飾配件|美妝個護,交換禮物與派對場景；行憲紀念日同日
尾牙季,2028,2027-12-26,週日,概略,團聚|B2B,mid,餐飲|食品飲料|B2B企業採購|服務業|服飾配件,錨點=除夕前30天；實際散落農曆12月，企業自訂
跨年/元旦,2028,2028-01-01,週六,確定,體驗|團聚,mid,餐飲|零售通路|食品飲料|服飾配件,主戰場是 12/31 跨年夜，1/1 為節日錨點
除夕,2028,2028-01-25,週二,確定,團聚|囤貨,long,食品飲料|餐飲|家清日用|零售通路,圍爐與年菜的當日高峰
春節,2028,2028-01-26,週三,確定,送禮|團聚|囤貨,long,食品飲料|餐飲|家清日用|零售通路|美妝個護|服飾配件|B2B企業採購,年貨檔期於節前約一個月啟動
元宵,2028,2028-02-09,週三,確定,體驗|儀式,short,食品飲料|餐飲|零售通路,非國定假日，正常上班
西洋情人節,2028,2028-02-14,週一,確定,送禮|體驗,mid,美妝個護|食品飲料|餐飲|服飾配件|服務業,餐飲訂位與禮盒雙軌
白色情人節,2028,2028-03-14,週二,確定,送禮,short,食品飲料|美妝個護|餐飲,回禮情境，客單低於2/14
兒童節/清明,2028,2028-04-04,週二,確定,團聚|儀式,short,食品飲料|零售通路|餐飲|服務業,兒童節4/4與清明4/5相連，親子與祭祀兩種需求並存
母親節,2028,2028-05-14,週日,確定,送禮,long,美妝個護|食品飲料|餐飲|服飾配件|3C家電|服務業,5月第2個週日；餐飲需提前開放訂位
端午,2028,2028-05-28,週日,確定,送禮|儀式,long,食品飲料|餐飲|B2B企業採購|零售通路,預購與企業團購為主
父親節,2028,2028-08-08,週二,確定,送禮,mid,3C家電|食品飲料|餐飲|服飾配件|美妝個護,8/8；聲量與客單皆低於母親節
七夕,2028,2028-08-26,週六,確定,送禮|體驗,mid,美妝個護|食品飲料|餐飲|服飾配件,非國定假日；與中元同月，情緒調性需切開
開學季,2028,2028-08-30,週三,概略,季節需求,mid,家清日用|食品飲料|3C家電|服飾配件|服務業,錨點8/30；各級學校開學日不同
中元普渡,2028,2028-09-03,週日,確定,儀式|囤貨,mid,食品飲料|家清日用|零售通路|B2B企業採購,整個農曆七月都有拜拜需求，非單日
中秋,2028,2028-10-03,週二,確定,送禮|團聚,long,食品飲料|餐飲|B2B企業採購|零售通路|家清日用,禮盒送禮與烤肉團聚兩種任務並存
百貨週年慶,2028,2028-10-15,週日,概略,囤貨|體驗,long,美妝個護|服飾配件|3C家電|零售通路|餐飲,錨點10/15；各百貨檔期9-11月不一，需查該店公告
萬聖節,2028,2028-10-31,週二,確定,體驗,mid,食品飲料|餐飲|零售通路|美妝個護|服飾配件,內容與快閃導向，客單低但社群聲量高
雙11,2028,2028-11-11,週六,確定,囤貨,short,電商|家清日用|食品飲料|3C家電|美妝個護|服飾配件,平台主導，站內資源位需提早報名
黑色星期五,2028,2028-11-24,週五,確定,囤貨,short,電商|3C家電|服飾配件|美妝個護,11月第4個週四之後的週五；跨境與3C為主
雙12,2028,2028-12-12,週二,確定,囤貨,short,電商|零售通路|食品飲料|家清日用,雙11的補檔，適合清庫存
聖誕節,2028,2028-12-25,週一,確定,送禮|體驗|團聚,mid,食品飲料|餐飲|零售通路|服飾配件|美妝個護,交換禮物與派對場景；行憲紀念日同日
